Stabilization progress: 0.015915494309189534% complete
Stabilization progress: 0.03183098861837907% complete
Stabilization progress: 0.047746482927568605% complete
Stabilization progress: 0.06366197723675814% complete
Stabilization progress: 0.07957747154594767% complete
Stabilization progress: 0.09549296585513721% complete
Stabilization progress: 0.11140846016432675% complete
Stabilization progress: 0.12732395447351627% complete
Stabilization progress: 0.1432394487827058% complete
Stabilization progress: 0.15915494309189535% complete
Stabilization progress: 0.17507043740108486% complete
Stabilization progress: 0.1909859317102744% complete
Stabilization progress: 0.2069014260194639% complete
Stabilization progress: 0.22281692032865347% complete
Stabilization progress: 0.238732414637843% complete
